Station Category;Station Type;ID Hash;WMO ID;Alternative IDs;Name;Location Lat,Lon;Elevation;Start Date;End Date;Horizontal Distance;Vertical Distance;Effective Distance;Elevation_m
SYNOP;SYNO;2295967745;;FIO;Fionnay;46.0314,7.30896;1500m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1502.5
SYNOP;SYNO;2306497475;;WHF;Riedholz / Wallierhof;47.2343,7.5627;518m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;519.0
SYNOP;SYNO;2306523058;;VST;La Valsainte;46.6478,7.17856;1044m;2017-12-03T06:00:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1045.6
SYNOP;SYNO;2325792842;;MAT;Martina;46.884,10.463;1041m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1044.3
SYNOP;SYNO;2326118230;;SRE;Sierre;46.2985,7.55723;536m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;539.2
SYNOP;SYNO;2333930304;;AFI;Andelfingen;47.6016,8.6861;382m;2017-12-03T06:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;385.1
SYNOP;SYNO;2355842234;;INN;Innerthal;47.1064,8.91528;903m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;903.0
SYNOP;SYNO;2361948292;066180;MAH;Mathod;46.737,6.56798;435m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;435.3
SYNOP;SYNO;2364053173;;ZWK;Zwillikon;47.2901,8.43196;461m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;461.6
SYNOP;SYNO;2378547981;;COG;Combe-Garot;46.9529,6.75669;629m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;634.8
SYNOP;SYNO;2397541569;066140;MAR;Les Marécottes;46.1189,7.0166;990m;2015-08-25T08:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;993.5
SYNOP;SYNO;2402011870;;WEE;Weesen;47.1316,9.08609;425m;2017-12-03T06:00:00Z;2025-05-02T07:20:00Z;-999;-999;-999;427.1
SYNOP;SYNO;2408488614;066100;PAY;Payerne;46.8116,6.94247;490m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;490.2
SYNOP;SYNO;2423316293;;TAM;Tamins;46.8317,9.40693;667m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;672.8
SYNOP;SYNO;2440604288;067070;VIT;Villars-Tiercelin;46.6218,6.71007;859m;2014-03-13T09:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;858.2
SYNOP;SYNO;2454000484;;LUN;Lungern;46.7851,8.16251;740m;2017-12-03T06:00:00Z;2025-04-30T06:00:00Z;-999;-999;-999;743.1
SYNOP;SYNO;2456379163;;STE;Steckborn;47.6621,8.9719;399m;2017-12-03T06:00:00Z;2025-04-30T06:00:00Z;-999;-999;-999;397.3
